Comunidad Autonoma,Periodo,Actividad,Censo,Criminalidad,GastoHogares,GastoProteccionAmbiental,Hipotecas,IngresosMedios,IPC,TipoVivienda,IPV,NumHabitaciones,NumHogares,PIB,Emisiones GEI,Precio del suelo
01 Andalucía,2016,58.2,2058278.0,70693.0,25877.94,177086692.0,389896.0,8398.0,95.295,Vivienda segunda mano,102.266,Menos de 3 habitaciones,29.5,2.394,45054.0,167.07
01 Andalucía,2016,58.2,2058278.0,70693.0,25877.94,177086692.0,389896.0,8398.0,95.295,Vivienda segunda mano,102.266,Entre 3 y 6 habitaciones,2574.8,2.394,45054.0,167.07
01 Andalucía,2016,58.2,2058278.0,70693.0,25877.94,177086692.0,389896.0,8398.0,95.295,Vivienda segunda mano,102.266,7 o más habitaciones,593.4,2.394,45054.0,167.07
01 Andalucía,2015,58.8,2058278.0,55998.0,24396.54,127633674.0,382706.0,7942.0,93.767,Vivienda nueva,100.0,Menos de 3 habitaciones,74.5,3.468,47946.0,144.34
01 Andalucía,2015,58.8,2058278.0,55998.0,24396.54,127633674.0,382706.0,7942.0,93.767,Vivienda nueva,100.0,Entre 3 y 6 habitaciones,2501.5,3.468,47946.0,144.34
01 Andalucía,2015,58.8,2058278.0,55998.0,24396.54,127633674.0,382706.0,7942.0,93.767,Vivienda nueva,100.0,7 o más habitaciones,604.6,3.468,47946.0,144.34
01 Andalucía,2015,58.8,2058278.0,55998.0,24396.54,127633674.0,382706.0,7942.0,93.767,Vivienda segunda mano,100.0,Menos de 3 habitaciones,74.5,3.468,47946.0,144.34
01 Andalucía,2015,58.8,2058278.0,55998.0,24396.54,127633674.0,382706.0,7942.0,93.767,Vivienda segunda mano,100.0,Entre 3 y 6 habitaciones,2501.5,3.468,47946.0,144.34
01 Andalucía,2015,58.8,2058278.0,55998.0,24396.54,127633674.0,382706.0,7942.0,93.767,Vivienda segunda mano,100.0,7 o más habitaciones,604.6,3.468,47946.0,144.34
01 Andalucía,2014,58.6,2058278.0,53536.0,24388.32,125653863.0,283133.0,8079.0,93.795,Vivienda nueva,94.84,Menos de 3 habitaciones,64.8,2.349,4629.0,155.77
